TransactionID, Transaction_date, Quantity,Subtotal, Taxes, DiscountPrice,TotalAmount, Payment_Method, Products_ProductID, CustomerCart_CustomerID, Cashier_CashierID
T27,20/01/2016,3,271.71,13.59,54.34,285.3,netbanking,TEC-AC-10003027,14,2
T28,21/09/2015,7,10483.66,622.47,524.18,11106.13,Debitcard,FUR-BO-10004834,15,3
T29,21/09/2015,2,19.24,1.2,0,20.44,Debitcard,OFF-BI-10000474,15,3
T30,21/09/2015,3,58.62,3.3,5.86,61.92,Debitcard,FUR-FU-10004848,15,3
T31,21/09/2015,2,3.26,0.2,0,3.47,Debitcard,OFF-EN-10001509,15,3
T32,21/09/2015,6,215.76,12.14,21.58,227.9,Debitcard,OFF-AR-10004042,15,3
T33,21/09/2015,6,9.14,0.57,0,9.72,Debitcard,OFF-BI-10001525,15,3
T34,21/09/2015,2,15.76,0.99,0,16.75,Debitcard,OFF-AR-10001683,15,3
T35,23/10/2017,3,58.94,3.32,5.89,62.26,COD,OFF-PA-10000249,16,2
T36,10/12/2016,7,1646.32,87.46,246.95,1733.78,Cash,TEC-PH-10004977,17,3
T37,10/12/2016,5,954.6,41.76,286.38,996.36,Cash,FUR-FU-10003664,17,3
T38,31/12/2015,9,566.64,28.33,113.33,594.97,Credit card,OFF-EN-10002986,18,2
T39,31/12/2015,3,1565.88,83.19,234.88,1649.07,Credit card,FUR-BO-10002545,18,2
T40,31/12/2015,3,272.65,13.63,54.53,286.28,Credit card,FUR-CH-10004218,18,2
T41,31/12/2015,4,1484.67,78.87,222.7,1563.55,Credit card,TEC-PH-10000486,18,2
T42,15/09/2017,4,183.96,10.35,18.4,194.31,COD,TEC-PH-10004093,19,1
T43,22/07/2016,2,155.76,7.79,31.15,163.55,netbanking,OFF-ST-10003479,20,2
T44,23/09/2017,2,119.52,5.98,23.9,125.5,Credit card,OFF-ST-10003282,21,2
T45,13/03/2016,2,36.78,2.07,3.68,38.85,Credit card,TEC-AC-10000171,22,3
T46,13/03/2016,2,10.48,0.65,0,11.13,Credit card,OFF-BI-10003291,22,3
T47,25/10/2014,4,339.14,16.96,67.83,356.09,EMI,OFF-ST-10001713,23,2
T48,25/06/2016,3,72,4.05,7.2,76.05,EMI,TEC-AC-10002167,24,2
T49,25/06/2016,2,21.8,1.23,2.18,23.03,EMI,TEC-PH-10003988,24,2
T50,22/04/2015,6,45.86,2.87,0,48.73,netbanking,OFF-BI-10004410,25,1
T51,22/04/2015,6,150.36,8.46,15.04,158.82,netbanking,OFF-LA-10002762,25,1
T52,22/04/2015,2,9.86,0.62,0,10.47,netbanking,FUR-FU-10001706,25,1
T53,22/04/2015,1,71.99,3.6,14.4,75.59,netbanking,FUR-CH-10003061,25,1
T54,17/12/2016,7,30.52,1.91,0,32.43,Credit card,OFF-FA-10000304,26,3
T55,17/12/2016,5,823.96,36.05,247.19,860.01,Credit card,TEC-PH-10002447,26,3
T56,18/06/2016,6,417.12,20.86,83.42,437.98,COD,OFF-ST-10000604,27,2
T57,18/06/2016,5,32.4,2.03,0,34.43,COD,OFF-PA-10001569,27,2
T58,18/06/2016,5,638.82,27.95,191.65,666.77,COD,FUR-CH-10003968,27,2
T59,18/06/2016,2,23.3,1.31,2.33,24.61,COD,OFF-PA-10000587,27,2
T60,18/06/2016,2,48,2.7,4.8,50.7,COD,TEC-AC-10002167,27,2
T61,18/06/2016,4,72.72,4.09,7.27,76.81,COD,OFF-BI-10001460,27,2
T62,18/06/2016,1,1.34,0.08,0,1.43,COD,OFF-AR-10001868,27,2
T63,30/11/2015,2,27.96,1.57,2.8,29.53,EMI,TEC-AC-10004633,28,2
T64,30/11/2015,6,25.82,1.61,0,27.44,EMI,OFF-BI-10001078,28,2
T65,30/11/2015,3,293.46,14.67,58.69,308.13,EMI,OFF-PA-10003892,28,2
T66,30/11/2015,4,159.52,8.97,15.95,168.49,EMI,FUR-FU-10000397,28,2
T67,05/05/2015,5,304.45,15.22,60.89,319.67,COD,FUR-CH-10001146,29,1
T68,10/12/2014,8,8904.19,528.69,445.21,9432.88,netbanking,OFF-AR-10002671,30,1
T69,10/12/2014,4,335.94,16.8,67.19,352.73,netbanking,TEC-PH-10002726,30,1
T70,06/06/2016,2,151.76,7.59,30.35,159.35,Credit card,OFF-PA-10000482,31,3
T71,23/09/2016,1,2.31,0.14,0,2.45,netbanking,OFF-BI-10004654,32,2
T72,17/09/2017,3,15.24,0.95,0,16.19,Cash,OFF-PA-10004675,15,3
T73,02/05/2015,8,1455.89,63.7,436.77,1519.58,Cash,FUR-CH-10000513,33,3
T74,02/05/2015,2,145.56,7.28,29.11,152.84,Cash,FUR-FU-10003708,33,3
T75,02/05/2015,1,72.78,3.64,14.56,76.42,Cash,OFF-ST-10004123,33,3
T76,11/12/2017,3,3.74,0.23,0,3.98,Credit card,OFF-BI-10004182,34,1
T77,11/12/2017,3,29.12,1.82,0,30.94,Credit card,FUR-FU-10000260,34,1
T78,11/12/2017,3,54.48,3.06,5.45,57.54,Credit card,OFF-ST-10000615,34,1
T79,01/12/2014,5,96.5,5.43,9.65,101.93,EMI,FUR-FU-10003194,33,3
T80,15/06/2016,1,208.16,11.06,31.22,219.22,Cash,OFF-AP-10002118,35,2
T81,15/06/2016,3,26.78,1.67,0,28.46,Cash,OFF-BI-10002309,35,2
T82,16/10/2014,5,23.84,1.49,0,25.33,netbanking,OFF-AR-10002053,36,2
T83,16/10/2014,1,21.39,1.2,2.14,22.59,netbanking,OFF-ST-10002370,36,2
T84,08/09/2015,7,251.23,14.13,25.12,265.36,Cash,OFF-EN-10000927,37,2
T85,16/11/2017,3,230.38,11.52,46.08,241.89,COD,OFF-ST-10003656,38,1
T86,30/05/2017,2,211.37,9.25,63.41,220.62,Debitcard,FUR-CH-10000863,23,2
T87,02/11/2017,1,19.99,1.12,2,21.11,Credit card,TEC-AC-10001998,39,1
T88,02/11/2017,2,6.16,0.39,0,6.55,Credit card,OFF-LA-10000134,39,1
T89,10/04/2016,7,316.74,17.82,31.67,334.55,Debitcard,OFF-ST-10003442,40,3
T90,22/09/2016,3,20.1,1.26,0,21.36,EMI,OFF-AR-10004930,41,1
T91,22/09/2016,2,91.98,5.17,9.2,97.15,EMI,TEC-PH-10004093,41,1
T92,22/09/2016,1,6.48,0.41,0,6.89,EMI,OFF-PA-10000304,41,1
T93,05/02/2015,2,25.92,1.46,2.59,27.38,netbanking,OFF-PA-10003177,42,2
T94,05/02/2015,3,42.67,2.4,4.27,45.07,netbanking,FUR-FU-10003799,42,2
T95,05/02/2015,2,19.78,1.24,0,21.01,netbanking,OFF-BI-10002852,42,2
T96,12/11/2017,1,5.68,0.36,0,6.04,netbanking,OFF-BI-10004738,43,1
T97,11/11/2017,7,77.22,4.34,7.72,81.57,Cash,FUR-FU-10000629,44,3
T98,20/06/2017,3,25.66,1.6,0,27.26,COD,OFF-BI-10001721,45,3
T99,11/09/2016,6,77.88,4.38,7.79,82.26,Credit card,OFF-AP-10000358,46,1
T100,02/09/2016,7,80.78,4.54,8.08,85.32,Debitcard,OFF-PA-10003256,47,3
T101,02/09/2016,3,287.93,14.4,57.59,302.32,Debitcard,TEC-AC-10001767,47,3
T102,02/09/2016,3,3.58,0.22,0,3.8,Debitcard,OFF-BI-10002609,47,3
T103,04/12/2016,4,57.41,3.23,5.74,60.64,Debitcard,OFF-PA-10004040,48,1
T104,17/11/2015,6,597.24,29.86,119.45,627.1,netbanking,TEC-AC-10001552,49,3
T105,17/11/2015,3,255.9,12.8,51.18,268.7,netbanking,FUR-FU-10004006,49,3
T106,17/11/2015,3,36.88,2.07,3.69,38.96,netbanking,OFF-BI-10002794,49,3
T107,28/11/2017,8,148.22,8.34,14.82,156.56,Credit card,TEC-AC-10003499,50,3
T108,28/11/2017,1,27.99,1.57,2.8,29.57,Credit card,TEC-PH-10002844,50,3
T109,28/11/2017,1,3.3,0.21,0,3.51,Credit card,OFF-AR-10000390,50,3
T110,20/10/2015,5,424.95,21.25,84.99,446.2,Debitcard,TEC-AC-10000844,51,2
T111,30/12/2017,2,83.92,4.72,8.39,88.64,COD,FUR-FU-10001934,52,1
T112,10/11/2016,2,60.77,3.42,6.08,64.19,Credit card,OFF-AR-10000380,53,1
T113,10/11/2016,6,16.34,1.02,0,17.37,Credit card,OFF-BI-10003981,53,1
T114,27/08/2014,14,150.36,8.46,15.04,158.82,Debitcard,OFF-FA-10000621,54,3
T115,27/08/2014,2,9.44,0.59,0,10.03,Debitcard,OFF-EN-10002600,54,3
T116,27/08/2014,3,47.95,2.7,4.8,50.65,Debitcard,OFF-PA-10004965,54,3
T117,27/08/2014,6,130.46,7.34,13.05,137.8,Debitcard,OFF-EN-10002504,54,3
T118,06/03/2015,3,630.02,33.47,94.5,663.49,Debitcard,FUR-TA-10001768,55,3
T119,10/04/2015,1,157.79,6.9,47.34,164.7,COD,OFF-BI-10003650,56,1
T120,15/06/2016,3,141.12,7.94,14.11,149.06,COD,FUR-FU-10002157,57,3
T121,15/06/2016,4,9.25,0.58,0,9.83,COD,OFF-BI-10003910,57,3
T122,15/06/2016,6,226.56,12.74,22.66,239.3,COD,OFF-ST-10000777,57,3
T123,15/06/2016,9,115.02,6.47,11.5,121.49,COD,OFF-EN-10002500,57,3
T124,15/06/2016,7,204.12,11.48,20.41,215.6,COD,TEC-PH-10003875,57,3
T125,28/12/2014,3,1372.7,72.92,205.91,1445.63,Cash,FUR-CH-10004063,58,3
T126,25/09/2014,6,2223.72,118.14,333.56,2341.86,netbanking,FUR-TA-10004534,59,3
T127,12/11/2017,2,3.18,0.2,0,3.38,Credit card,OFF-BI-10003274,60,3
T128,12/11/2017,7,304.99,17.16,30.5,322.15,Credit card,OFF-ST-10002974,60,3
T129,10/11/2016,2,121.78,6.09,24.36,127.87,Debitcard,FUR-CH-10001146,61,1
T130,10/11/2016,3,477.12,20.87,143.14,497.99,Debitcard,FUR-FU-10003773,61,1
T131,05/02/2017,5,119.94,6.75,11.99,126.69,Cash,TEC-PH-10002293,62,1
T132,05/02/2017,2,34.08,1.92,3.41,36,Cash,OFF-PA-10002377,62,1
T133,05/02/2017,9,80.46,5.03,0,85.49,Cash,OFF-FA-10002780,62,1
T134,19/10/2016,3,16.03,1,0,17.03,netbanking,OFF-PA-10001804,63,1
T135,19/10/2016,1,35.44,1.99,3.54,37.43,netbanking,OFF-PA-10001736,63,1
T136,19/10/2016,4,15.6,0.98,0,16.58,netbanking,OFF-AR-10001149,63,1
T137,19/10/2016,2,8.04,0.5,0,8.54,netbanking,OFF-FA-10002988,63,1
T138,19/10/2016,3,28.57,1.79,0,30.35,netbanking,OFF-BI-10004781,63,1
T139,19/10/2016,6,131.76,7.41,13.18,139.17,netbanking,OFF-SU-10001218,63,1
T140,19/10/2016,14,68.99,4.31,0,73.3,netbanking,FUR-FU-10001706,63,1
T141,07/09/2016,2,39.08,2.2,3.91,41.28,Debitcard,FUR-FU-10004848,64,2
T142,23/09/2017,3,8.82,0.55,0,9.37,Credit card,OFF-AR-10000940,65,3
T143,23/09/2017,3,8.69,0.54,0,9.23,Credit card,OFF-EN-10004030,65,3
T144,23/09/2017,3,143.7,8.08,14.37,151.78,Credit card,OFF-PA-10004327,65,3
T145,27/12/2017,3,1343.09,71.35,201.46,1414.44,EMI,OFF-AP-10001058,66,1
T146,12/09/2015,7,537.54,26.88,107.51,564.42,Credit card,OFF-ST-10003656,67,1
T147,28/10/2014,4,234.72,11.74,46.94,246.46,COD,FUR-FU-10000521,68,2
T148,09/12/2016,11,768.9,38.45,153.78,807.35,EMI,TEC-PH-10000215,69,3
T149,09/12/2016,3,119.98,6.75,12,126.72,EMI,TEC-PH-10001448,69,3
T150,09/12/2016,8,1366.29,59.78,409.89,1426.06,EMI,FUR-CH-10000454,69,3
T151,09/12/2016,5,257.33,12.87,51.47,270.19,EMI,OFF-BI-10002735,69,3
T152,16/03/2016,5,789.6,34.55,236.88,824.15,Credit card,OFF-AP-10000326,70,2
T153,16/03/2016,2,406.37,21.59,60.96,427.96,Credit card,TEC-PH-10001254,70,2
T154,02/06/2015,7,46.7,2.92,0,49.62,COD,OFF-PA-10001950,71,3
T155,02/06/2015,4,105.52,5.94,10.55,111.46,COD,OFF-PA-10002254,71,3
T156,02/06/2015,6,64.7,3.64,6.47,68.34,COD,OFF-ST-10001590,71,3
T157,03/06/2015,3,6.63,0.41,0,7.04,Debitcard,OFF-AR-10001547,72,1
T158,06/03/2014,2,915.14,48.62,137.27,963.75,Cash,FUR-CH-10004063,73,1
T159,24/11/2016,2,23.39,1.32,2.34,24.71,EMI,OFF-LA-10002475,74,3
T160,24/11/2016,7,1889.86,100.4,283.48,1990.26,EMI,TEC-PH-10004536,74,3
T161,12/05/2016,1,5.98,0.37,0,6.35,EMI,OFF-PA-10002751,75,3
T162,31/12/2015,2,108.77,5.44,21.75,114.21,Cash,TEC-AC-10003657,76,3
T163,20/11/2016,5,56.8,3.2,5.68,60,Credit card,OFF-EN-10001990,77,2
T164,11/11/2016,2,20.76,1.17,2.08,21.93,Debitcard,OFF-BI-10004002,78,3
T165,12/09/2014,3,24.84,1.55,0,26.39,Cash,OFF-AR-10004441,79,2
T166,12/09/2014,8,20399.88,1211.24,1019.99,21611.12,Cash,TEC-MA-10000822,79,2
T167,12/09/2014,3,689.82,36.65,103.47,726.47,Cash,OFF-ST-10000991,79,2
T168,12/09/2014,9,1988.64,105.65,298.3,2094.29,Cash,FUR-CH-10004287,79,2
T169,12/09/2014,6,64.13,3.61,6.41,67.74,Cash,OFF-AR-10002656,79,2
T170,12/09/2014,5,889.9,38.93,266.97,928.83,Cash,OFF-AP-10002518,79,2
T171,12/09/2014,3,287.95,14.4,57.59,302.35,Cash,TEC-PH-10003931,79,2
T172,09/08/2014,3,33.5,1.88,3.35,35.39,EMI,OFF-PA-10000659,80,1
T173,09/08/2014,2,221.92,9.71,66.58,231.63,EMI,OFF-PA-10001144,80,1
T174,09/08/2014,7,425.18,21.26,85.04,446.44,EMI,FUR-CH-10003817,80,1
T175,19/09/2014,2,104.9,5.24,20.98,110.14,Debitcard,OFF-AP-10000891,81,1
T176,19/09/2014,4,75.6,4.25,7.56,79.85,Debitcard,OFF-LA-10003148,81,1
T177,25/04/2017,4,194.53,10.94,19.45,205.47,COD,OFF-AP-10002684,82,2
T178,23/11/2015,7,453.49,22.67,90.7,476.16,Debitcard,FUR-CH-10004698,33,3
T179,23/11/2015,5,59.55,3.35,5.96,62.9,Debitcard,OFF-SU-10002189,33,3
T180,19/12/2015,1,3.28,0.21,0,3.49,Credit card,OFF-AR-10001940,83,3
T181,09/12/2014,2,49.63,2.79,4.96,52.42,Debitcard,OFF-ST-10003455,84,3
T182,09/12/2014,7,817.49,35.77,245.25,853.25,Debitcard,TEC-AC-10004659,84,3
T183,24/11/2014,4,1209.5,64.25,181.43,1273.76,netbanking,TEC-PH-10003273,85,2
T184,24/11/2014,5,269.91,13.5,53.98,283.41,netbanking,TEC-PH-10004896,85,2
T185,24/11/2014,2,46.4,2.61,4.64,49.01,netbanking,TEC-AC-10002345,85,2
T186,02/12/2016,2,5.73,0.36,0,6.09,netbanking,OFF-BI-10001890,86,1
T187,30/08/2014,8,282.88,15.91,28.29,298.79,Debitcard,TEC-AC-10002323,87,1
T188,22/07/2016,3,46.53,2.62,4.65,49.15,COD,OFF-ST-10001328,88,2
T189,22/07/2016,3,20.02,1.25,0,21.27,COD,OFF-PA-10001950,88,2
T190,14/10/2015,4,1798.27,95.53,269.74,1893.81,netbanking,FUR-BO-10002613,89,1
T191,14/10/2015,6,114.82,6.46,11.48,121.27,netbanking,TEC-PH-10001552,89,1
T192,14/10/2015,8,165.89,9.33,16.59,175.22,netbanking,OFF-PA-10000061,89,1
T193,14/10/2015,3,1565.88,83.19,234.88,1649.07,netbanking,FUR-BO-10002545,89,1
T194,14/10/2015,5,31.84,1.99,0,33.83,netbanking,OFF-AR-10003514,89,1
T195,06/11/2015,7,11.42,0.71,0,12.14,Cash,OFF-EN-10001509,90,2
T196,25/03/2014,2,14.82,0.93,0,15.74,EMI,OFF-AR-10004685,91,1
T197,25/03/2014,3,12.1,0.76,0,12.85,EMI,OFF-AR-10004027,91,1
T198,13/11/2017,3,138.78,7.81,13.88,146.59,EMI,OFF-ST-10001414,92,1
T199,13/07/2017,2,3.93,0.25,0,4.17,COD,OFF-BI-10000343,93,3
T200,13/07/2017,3,48.17,2.71,4.82,50.88,COD,OFF-PA-10002749,93,3
T201,29/06/2017,3,65.23,3.67,6.52,68.9,Debitcard,OFF-PA-10002666,94,1
T202,05/08/2014,2,437.5,23.24,65.63,460.74,Cash,FUR-TA-10004289,95,3
T203,05/08/2014,1,2.6,0.16,0,2.76,Cash,OFF-AP-10003622,95,3
T204,21/12/2017,2,132.57,6.63,26.51,139.2,COD,OFF-AP-10003217,96,1
T205,07/06/2017,7,105.5,5.93,10.55,111.44,Debitcard,FUR-FU-10002960,97,1
T206,14/12/2017,4,889.54,47.26,133.43,936.79,Debitcard,TEC-PH-10001918,98,1
T207,07/12/2017,4,167.84,9.44,16.78,177.28,Credit card,OFF-ST-10000642,99,1
T208,07/12/2017,2,105.58,5.28,21.12,110.86,Credit card,TEC-PH-10001700,99,1
T209,07/12/2017,4,6.37,0.4,0,6.77,Credit card,OFF-BI-10003274,99,1
T210,07/12/2017,9,52.29,3.27,0,55.56,Credit card,OFF-FA-10000134,99,1
T211,07/12/2017,1,91.99,4.6,18.4,96.59,Credit card,OFF-ST-10001522,99,1
T212,13/02/2015,2,41.6,2.34,4.16,43.94,COD,TEC-AC-10001266,100,3
T213,09/01/2015,2,47.36,2.66,4.74,50.02,netbanking,OFF-LA-10004544,101,2
T214,09/01/2015,5,1447.84,76.92,217.18,1524.76,netbanking,FUR-BO-10004695,101,2
T215,09/01/2015,3,83.98,4.72,8.4,88.7,netbanking,TEC-PH-10002844,101,2
T216,09/01/2015,9,10692,634.84,534.6,11326.84,netbanking,TEC-MA-10000864,101,2
T217,09/01/2015,2,179.17,8.96,35.83,188.13,netbanking,TEC-AC-10000109,101,2
T218,01/11/2016,6,93.06,5.23,9.31,98.29,Cash,OFF-ST-10001328,102,2
T219,01/11/2016,3,604.75,32.13,90.71,636.88,Cash,TEC-PH-10002563,102,2
T220,27/12/2015,2,11.17,0.7,0,11.87,Cash,OFF-FA-10000585,103,3
T221,27/12/2015,6,28.38,1.77,0,30.15,Cash,OFF-PA-10004000,103,3
T222,27/12/2015,4,39.55,2.47,0,42.02,Cash,OFF-BI-10002852,103,3
T223,27/12/2015,4,72.7,4.09,7.27,76.79,Cash,FUR-FU-10000087,103,3
T224,27/12/2015,4,1796.4,95.43,269.46,1891.83,Cash,TEC-MA-10001148,103,3
T225,27/12/2015,2,27.17,1.53,2.72,28.7,Cash,OFF-AR-10001958,103,3
T226,16/08/2015,1,2.2,0.14,0,2.34,netbanking,OFF-AR-10001026,104,1
T227,16/08/2015,5,497.96,24.9,99.59,522.86,netbanking,FUR-TA-10003748,104,1
T228,16/08/2015,1,21.98,1.24,2.2,23.22,netbanking,OFF-ST-10002485,104,1
T229,04/03/2015,2,141.37,7.07,28.27,148.44,netbanking,FUR-CH-10004860,105,2
T230,04/03/2015,8,389.7,21.92,38.97,411.62,netbanking,FUR-CH-10004477,105,2
T231,17/09/2014,7,37.3,2.33,0,39.63,Debitcard,OFF-BI-10001679,106,3
T232,12/04/2017,2,467.72,24.85,70.16,492.57,Debitcard,FUR-TA-10001705,38,1
T233,12/04/2017,3,902.71,47.96,135.41,950.67,Debitcard,FUR-TA-10003473,38,1
T234,12/04/2017,2,10.66,0.67,0,11.32,Debitcard,OFF-BI-10001679,38,1
T235,12/04/2017,3,228.42,11.42,45.68,239.84,Debitcard,FUR-FU-10004017,38,1
T236,12/04/2017,3,198.78,9.94,39.76,208.72,Debitcard,TEC-AC-10003832,38,1
T237,16/11/2017,2,10.56,0.66,0,11.22,netbanking,OFF-PA-10002479,107,2
T238,09/06/2016,5,64.8,3.65,6.48,68.45,Credit card,OFF-PA-10003349,108,2
T239,09/06/2016,5,1678.72,89.18,251.81,1767.9,Credit card,FUR-FU-10000576,108,2
T240,09/06/2016,3,35.06,1.97,3.51,37.04,Credit card,FUR-FU-10004351,108,2
T241,09/06/2016,2,63.97,3.6,6.4,67.57,Credit card,TEC-PH-10000011,108,2
T242,09/06/2016,5,177.23,9.97,17.72,187.19,Credit card,FUR-TA-10002607,108,2
T243,09/06/2016,3,12.13,0.76,0,12.89,Credit card,FUR-FU-10002505,108,2
T244,09/06/2016,2,14.82,0.93,0,15.74,Credit card,OFF-AR-10004685,108,2
T245,06/06/2014,7,3202.98,170.16,480.45,3373.13,Cash,FUR-CH-10004063,109,2
T246,06/06/2014,2,133.38,6.67,26.68,140.04,Cash,OFF-ST-10002276,109,2
T247,06/06/2014,6,47.88,2.99,0,50.87,Cash,OFF-PA-10004082,109,2
T248,06/06/2014,5,3006.5,159.72,450.98,3166.22,Cash,OFF-AP-10002945,109,2
T249,06/06/2014,4,82.94,4.67,8.29,87.61,Cash,OFF-PA-10000061,109,2
T250,15/12/2016,2,562.74,29.9,84.41,592.64,COD,FUR-CH-10002965,110,1
T251,17/09/2016,1,7.61,0.48,0,8.09,Debitcard,OFF-PA-10004569,111,2
T252,17/09/2016,13,861.38,43.07,172.28,904.45,Debitcard,TEC-AC-10003832,111,2
T253,13/12/2016,6,93.48,5.26,9.35,98.74,netbanking,OFF-ST-10001228,112,1
T254,13/12/2016,4,723.84,31.67,217.15,755.51,netbanking,OFF-EN-10003296,112,1
T255,04/12/2015,9,36.4,2.27,0,38.67,EMI,FUR-FU-10002505,113,1
T256,04/12/2015,2,164.74,8.24,32.95,172.97,EMI,OFF-ST-10004804,113,1
T257,04/12/2015,5,53.92,3.03,5.39,56.95,EMI,OFF-ST-10001590,113,1
T258,04/12/2015,6,647.9,28.35,194.37,676.25,EMI,TEC-PH-10001580,113,1
T259,03/12/2017,3,20.37,1.27,0,21.64,EMI,TEC-AC-10000290,114,2
T260,03/12/2017,3,221.55,11.08,44.31,232.63,EMI,OFF-ST-10002790,114,2
T261,03/12/2017,5,4.38,0.27,0,4.65,EMI,OFF-BI-10003460,114,2
T262,12/06/2017,2,3.25,0.2,0,3.45,Credit card,OFF-AP-10002203,115,1
T263,21/09/2014,3,7649.96,454.22,382.5,8104.17,netbanking,TEC-MA-10000822,116,1
T264,21/09/2014,7,17639.71,1047.36,881.99,18687.06,netbanking,TEC-MA-10003353,116,1
T265,13/06/2016,4,246.17,12.31,49.23,258.48,Credit card,TEC-PH-10001433,117,3
T266,15/11/2015,2,127.84,6.39,25.57,134.23,Credit card,TEC-AC-10004469,118,1
T267,20/06/2017,3,14.02,0.88,0,14.89,netbanking,OFF-AR-10003602,119,3
T268,28/01/2016,6,15.12,0.95,0,16.07,Cash,OFF-FA-10003472,39,1
T269,13/12/2017,1,37.21,2.09,3.72,39.3,EMI,OFF-ST-10004180,120,1
T270,13/12/2017,3,71.97,4.05,7.2,76.02,EMI,OFF-EN-10004386,120,1
T271,02/01/2018,4,1161.34,61.7,174.2,1223.04,COD,OFF-ST-10003208,121,3
T272,31/07/2015,7,209.93,11.81,20.99,221.74,netbanking,TEC-AC-10003628,67,1
T273,31/07/2015,3,12.67,0.79,0,13.46,netbanking,FUR-FU-10003274,67,1
T274,31/07/2015,3,4.1,0.26,0,4.35,netbanking,OFF-BI-10002557,67,1
T275,17/09/2017,2,7.06,0.44,0,7.5,netbanking,OFF-PA-10002615,122,1
T276,17/09/2017,1,5.98,0.37,0,6.35,netbanking,OFF-AR-10001427,122,1
T277,17/10/2017,2,23.3,1.31,2.33,24.61,Debitcard,OFF-PA-10000673,123,1
T278,17/10/2017,4,45.44,2.56,4.54,48,Debitcard,OFF-PA-10004470,123,1
T279,17/10/2017,6,59.71,3.73,0,63.44,Debitcard,OFF-ST-10000876,123,1
T280,17/10/2017,3,62.1,3.49,6.21,65.59,Debitcard,OFF-LA-10002043,123,1
T281,28/09/2015,5,9.36,0.59,0,9.95,Debitcard,OFF-BI-10004967,57,3
T282,28/09/2015,7,2228.8,118.41,334.32,2347.21,Debitcard,TEC-PH-10001760,57,3
T283,06/11/2015,5,908.99,39.77,272.7,948.75,COD,FUR-TA-10002903,124,3
T284,02/10/2015,5,141.76,7.97,14.18,149.73,Debitcard,OFF-PA-10000474,15,3
T285,02/10/2015,5,599.5,26.23,179.85,625.73,Debitcard,TEC-AC-10001956,15,3
T286,02/10/2015,6,93.31,5.25,9.33,98.56,Debitcard,OFF-PA-10004100,15,3
T287,20/12/2016,7,508.12,25.41,101.62,533.52,Cash,OFF-BI-10000778,125,1
T288,20/12/2016,2,97.26,5.47,9.73,102.74,Cash,OFF-AP-10002684,125,1
T289,20/12/2016,5,1201.85,63.85,180.28,1265.7,Cash,OFF-SU-10000646,125,1
T290,24/11/2016,7,71.61,4.03,7.16,75.64,Cash,OFF-FA-10002983,126,3
T291,24/11/2016,8,92.48,5.2,9.25,97.68,Cash,OFF-LA-10004689,126,3
T292,24/11/2016,2,511.97,27.2,76.8,539.17,Cash,TEC-AC-10002001,126,3
T293,24/11/2016,3,139.15,7.83,13.92,146.98,Cash,FUR-BO-10004709,126,3
